about | prep., adv. [อะเบาท์] | เกี่ยวกับ
Nutrient | (n.) [นิวทรีเอนท์] | สารอาหาร
Ointment | (n.) [ออยน์เมนท์] | ครีมทา
Overweight | (adj.) [โอเวอร์เวท] | น้ำหนักเกิน
Prescription | (n.) [พรีสคริปชัน] | ใบสั่งยา
Respiration | (n.) [เรสพิเรชัน] | การหายใจ
Sneeze | (v.) [สนีซ] | จาม
Surgery | (n.) [เซอร์เจอรี] | การผ่าตัด
Temperature | (n.) [เทมเพอเรเจอร์] | อุณหภูมิ
Toxin | (n.) [ท็อกซิน] | พิษ
Vaccine | (n.) [วัคซีน] | วัคซีน
Vitamin | (n.) [ไวตามิน] | วิตามิน
Allergy | (n.) [แอลเลอรีจี] | ภูมิแพ้
Antiseptic | (n.) [แอนตี้เซพติก] | ยาฆ่าเชื้อ
Calcium | (n.) [แคลเซียม] | แคลเซียม
Digest | (v.) [ไดเจสต์] | ย่อย
Exercise | (n.) [เอกเซอร์ไซส์] | การออกกำลังกาย
Fatigue | (n.) [ฟาตีค] | ความเหนื่อยล้า
Fever | (n.) [ฟีเวอร์] | ไข้
Flu | (n.) [ฟลู] | ไข้หวัดใหญ่
Germs | (n.) [เจิร์มส์] | เชื้อโรค
Immunity | (n.) [อิมมูนิตี้] | ภูมิคุ้มกัน
Infection | (n.) [อินเฟคชั่น] | การติดเชื้อ
Metabolism | (n.) [เมแทบอลิซึม] | การเผาผลาญ
Nausea | (n.) [นอเซีย] | คลื่นไส้
Nutrient | (n.) [นิวทรีเอนท์] | สารอาหาร
Painkiller | (n.) [เพนคิลเลอร์] | ยาบรรเทาอาการปวด
Prescribe | (v.) [พรีสครายบ] | จ่ายยา
Protein | (n.) [โปรตีน] | โปรตีน
Radiation | (n.) [เรเดียชั่น] | รังสี
Recovery | (n.) [รีคัฟเวอรี] | การฟื้นฟู
Respiratory | (adj.) [เรสพิเรทอรี] | เกี่ยวกับระบบหายใจ
Stress | (n.) [สเตรส] | ความเครียด
Symptoms | (n.) [ซิมพ์ทอมส์] | อาการ
Tonic | (n.) [โทนิค] | ยาบำรุง
Treatment | (n.) [ทรีตเมนต์] | การรักษา
Vaccine | (n.) [วัคซีน] | วัคซีน
Virus | (n.) [ไวรัส] | ไวรัส
Wound | (n.) [วูนด์] | แผล
Zinc | (n.) [ซิงค์] | สังกะสี
Antiseptic | (n.) [แอนตี้เซพติก] | ยาฆ่าเชื้อ
Antidote | (n.) [แอนตี้โดท] | ต้านพิษ
Bacteria | (n.) [แบคทีเรีย] | แบคทีเรีย
Caffeine | (n.) [คาเฟอีน] | คาเฟอีน
Cholesterol | (n.) [โคเลสเตอรอล] | คอเลสเตอรอล
Cough | (n.) [คอฟ] | อาการไอ
Dehydration | (n.) [ดีไฮเดรชัน] | การขาดน้ำ
Electrolyte | (n.) [อิเล็กโทรไลท์] | อิเล็กโทรไลต์
Folic Acid | (n.) [โฟลิค แอซิด] | กรดโฟลิก
Glucose | (n.) [กลูโคส] | กลูโคส
Hydration | (n.) [ไฮเดรชัน] | การให้ความชุ่มชื้น
Insulin | (n.) [อินซูลิน] | อินซูลิน
Iron | (n.) [ไอรอน] | ธาตุเหล็ก
Lactose | (n.) [แลคโตส] | แลคโตส
Mineral | (n.) [มิเนอรัล] | แร่ธาตุ
Nausea | (n.) [นอเซีย] | อาการคลื่นไส้
Obesity | (n.) [โอเบซิตี้] | โรคอ้วน
Protein | (n.) [โปรตีน] | โปรตีน
Salmonella | (n.) [แซลโมเนลล่า] | แซลโมเนลล่า
Sodium | (n.) [โซเดียม] | โซเดียม
Supplement | (n.) [ซัปพลีเมนท์] | อาหารเสริม
Thermometer | (n.) [เทอร์โมมิเตอร์] | เทอร์โมมิเตอร์
Vitamins | (n.) [วิตามิน] | วิตามิน
Whey | (n.) [เวย์] | เวย์
Zinc | (n.) [ซิงค์] | สังกะสี
Acidity | (n.) [แอซิดิตี้] | ความเป็นกรด
Binge | (v.) [บิงจ์] | การทานมากเกินไป
Calories | (n.) [แคลอรี] | แคลอรี
Contaminant | (n.) [คอนแทมินแนนท์] | สิ่งปนเปื้อน
Deficiency | (n.) [ดีฟิเชียนซี] | การขาดแคลน
Electrolyte | (n.) [อิเล็กโทรไลท์] | อิเล็กโทรไลต์
Fatigue | (n.) [ฟาตีค] | ความเหนื่อยล้า
Folate | (n.) [โฟเลต] | โฟเลต
Gluten | (n.) [กลูเทน] | กลูเตน
Hygiene | (n.) [ไฮจีน] | สุขอนามัย
Lactose | (n.) [แลคโตส] | แลคโตส
Metabolism | (n.) [เมแทบอลิซึม] | การเผาผลาญ
Nutrients | (n.) [นิวทรีเอนท์] | สารอาหาร
Overeat | (v.) [โอเวอร์อีต] | ทานมากเกินไป
Proteins | (n.) [โปรตีน] | โปรตีน
Satiety | (n.) [ซาไทอีที] | ความอิ่ม
Sodium | (n.) [โซเดียม] | โซเดียม
Sugar | (n.) [น้ำตาล] | น้ำตาล
Toxic | (adj.) [ท็อกซิก] | เป็นพิษ
Vitamins | (n.) [วิตามิน] | วิตามิน
Weight | (n.) [น้ำหนัก] | น้ำหนัก
Whole Grain | (n.) [โฮล เกรน] | ธัญพืชเต็มเมล็ด
Antibiotics | (n.) [แอนติบิโอทิกส์] | ยาปฏิชีวนะ
Cholesterol | (n.) [โคเลสเตอรอล] | คอเลสเตอรอล
Diuretic | (n.) [ไดยูเรติก] | ยาขับปัสสาวะ
Electrolytes | (n.) [อิเล็กโทรไลท์] | อิเล็กโทรไลต์
Fat | (n.) [ไขมัน] | ไขมัน
Folate | (n.) [โฟเลต] | โฟเลต
Gluten | (n.) [กลูเทน] | กลูเตน
Hormones | (n.) [ฮอร์โมนส์] | ฮอร์โมน
Insulin | (n.) [อินซูลิน] | อินซูลิน
Lactose | (n.) [แลคโตส] | แลคโตส
Malnutrition | (n.) [มาลนูทริชั่น] | การขาดสารอาหาร
Nutrients | (n.) [นิวทรีเอนท์] | สารอาหาร
Obesity | (n.) [โอเบซิตี้] | โรคอ้วน
Probiotics | (n.) [โพรไบโอติกส์] | โปรไบโอติกส์
Saturated | (adj.) [แซททูเรตด] | อิ่มตัว
Supplement | (n.) [ซัปพลีเมนท์] | อาหารเสริม
Toxins | (n.) [ท็อกซินส์] | พิษ
Vitamins | (n.) [วิตามิน] | วิตามิน
Weight | (n.) [น้ำหนัก] | น้ำหนัก
Zinc | (n.) [ซิงค์] | สังกะสี
Antacids | (n.) [แอนตาซิดส์] | ยาลดกรด
Antihistamine | (n.) [แอนตี้ฮิสตามีน] | ยาต้านฮิสตามีน
Biotin | (n.) [ไบโอติน] | ไบโอติน
Calcium | (n.) [แคลเซียม] | แคลเซียม
Carbohydrates | (n.) [คาร์โบไฮเดรต] | คาร์โบไฮเดรต
Cough Syrup | (n.) [คอฟ ซีรัป] | ยาแก้ไอ
Digestion | (n.) [ไดเจสชัน] | การย่อยอาหาร
Folic Acid | (n.) [โฟลิค แอซิด] | กรดโฟลิก
Fruits | (n.) [ผลไม้] | ผลไม้
Hygiene | (n.) [ไฮจีน] | สุขอนามัย
Liver | (n.) [ตับ] | ตับ
Magnesium | (n.) [แมกนีเซียม] | แมกนีเซียม
Nutrients | (n.) [นิวทรีเอนท์] | สารอาหาร
Proteins | (n.) [โปรตีน] | โปรตีน
Saturated | (adj.) [แซททูเรตด] | อิ่มตัว
Thiamine | (n.) [ไธอะมีน] | ไทอามีน
Toxins | (n.) [ท็อกซินส์] | พิษ
Vitamin D | (n.) [วิตามิน ดี] | วิตามิน ดี
Vitamin E | (n.) [วิตามิน อี] | วิตามิน อี
Whole Foods | (n.) [โฮล ฟูดส์] | อาหารธรรมชาติ
Antioxidants | (n.) [แอนตี้ออกซิแดนต์] | สารต้านอนุมูลอิสระ
Cholesterol | (n.) [โคเลสเตอรอล] | คอเลสเตอรอล
Dehydration | (n.) [ดีไฮเดรชัน] | การขาดน้ำ
Enzyme | (n.) [เอนไซม์] | เอนไซม์
Fluoride | (n.) [ฟลูออไรด์] | ฟลูออไรด์
Folic Acid | (n.) [โฟลิค แอซิด] | กรดโฟลิก
Iron | (n.) [ไอรอน] | ธาตุเหล็ก
Lactose | (n.) [แลคโตส] | แลคโตส
Magnesium | (n.) [แมกนีเซียม] | แมกนีเซียม
Nutrients | (n.) [นิวทรีเอนท์] | สารอาหาร
Omega | (n.) [โอเมก้า-3] | โอเมก้า-3
Phosphorus | (n.) [ฟอสฟอรัส] | ฟอสฟอรัส
Sodium | (n.) [โซเดียม] | โซเดียม
Thyroid | (n.) [ไทรอยด์] | ต่อมไทรอยด์
Vitamin B12 | (n.) [วิตามิน บี12] | วิตามิน บี12
Vitamin K | (n.) [วิตามิน เค] | วิตามิน เค
Water | (n.) [น้ำ] | น้ำ
Zinc | (n.) [ซิงค์] | สังกะสี
Zinc | (n.) [ซิงค์] | สังกะสี
Zinc | (n.) [ซิงค์] | สังกะสี
Amino Acids | (n.) [อะมิโน แอซิดส์] | กรดอะมิโน
Electrolytes | (n.) [อิเล็กโทรไลท์] | อิเล็กโทรไลต์
Fat | (n.) [แฟต] | ไขมัน
Book | (n.) [บุ๊ค] | หนังสือ
Binder | (n.) [ไบน์เดอร์] | สมุดแฟ้ม
Notebook | (n.) [โน๊ตบุ๊ค] | สมุดบันทึก
Pen | (n.) [เพน] | ปากกา
Pencil | (n.) [เพนซิล] | ดินสอ
Eraser | (n.) [อีเรเซอร์] | ยางลบ
Sharpener | (n.) [ชาร์พเพอเนอร์] | เครื่องเหลาดินสอ
Ruler | (n.) [รูเลอร์] | ไม้บรรทัด
